point,x,y,z
profile1 0424,487.376,407.894,-2.275
profile1 0425,487.408,407.729,-2.287
profile1 0426,487.34,407.528,-2.294
profile1 0427,487.324,407.304,-2.31
profile1 0428,487.323,406.987,-2.311
profile1 0429,487.296,406.733,-2.332
profile1 0430,487.267,406.486,-2.325
profile1 0431,487.335,406.256,-2.337
profile1 0432,487.354,405.982,-2.346
profile1 0433,487.282,405.703,-2.335
profile1 0434,487.288,405.467,-2.349
profile1 0435,487.299,405.181,-2.366
profile1 0436,487.304,404.889,-2.366
profile1 0437,487.333,404.635,-2.378
profile1 0438,487.275,404.331,-2.389
profile1 0439,487.207,403.989,-2.381
profile1 0440,487.23,403.673,-2.392
profile1 0441,487.185,403.457,-2.371
profile1 0442,487.125,403.251,-2.38
profile1 0443,487.151,403.073,-2.392
profile1 0444,487.206,402.852,-2.372
profile1 0445,487.121,402.566,-2.362
profile1 0446,487.061,402.459,-2.405
profile1 0447,486.999,402.322,-2.416
profile1 0448,487.078,402.181,-2.407
profile1 0449,487.11,401.995,-2.418
profile1 0450,487.154,401.799,-2.419
profile1 0451,487.098,401.488,-2.421
profile1 0452,487.07,401.315,-2.4
profile1 0453,487.145,401.081,-2.401
profile1 0454,487.179,400.802,-2.417
profile1 0455,487.219,400.575,-2.422
profile1 0456,487.198,400.378,-2.419
profile1 0457,487.101,400.124,-2.433
profile1 0458,487.02,399.904,-2.429
profile1 0459,486.978,399.674,-2.433
profile1 0460,486.912,399.429,-2.426
profile1 0461,486.897,399.258,-2.432
profile1 0462,486.876,399.024,-2.439
profile1 0463,486.788,398.742,-2.443
profile1 0464,486.787,398.525,-2.446
profile1 0465,486.827,398.348,-2.455
profile1 0466,486.762,398.007,-2.473
profile1 0467,486.687,397.795,-2.452
profile1 0468,486.764,397.593,-2.463
profile1 0469,486.831,397.423,-2.471
profile1 0470,486.801,397.109,-2.48
profile1 0471,486.795,396.879,-2.487
profile1 0472,486.861,396.658,-2.501
profile1 0473,486.824,396.393,-2.51
profile1 0474,486.765,396.24,-2.495
profile1 0475,486.775,396.012,-2.506
profile1 0476,486.76,395.81,-2.504
profile1 0477,486.666,395.543,-2.508
profile1 0478,486.638,395.311,-2.508
profile1 0479,486.679,395.055,-2.529
profile1 0480,486.553,394.803,-2.538
profile1 0481,486.515,394.626,-2.544
profile1 0482,486.53,394.403,-2.543
profile1 0483,486.438,394.2,-2.535
profile1 0484,486.465,394.056,-2.54
profile1 0485,486.498,393.859,-2.557
profile1 0486,486.362,393.617,-2.553
profile1 0487,486.263,393.39,-2.56
profile1 0488,486.256,393.167,-2.573
profile1 0489,486.189,392.926,-2.591
profile1 0490,486.143,392.671,-2.595
profile1 0491,486.099,392.476,-2.579
profile1 0492,486.022,392.297,-2.581
profile1 0493,485.961,392.084,-2.592
profile1 0494,485.953,391.809,-2.598
profile1 0495,485.925,391.554,-2.604
profile1 0496,485.919,391.278,-2.612
profile1 0497,485.903,391.01,-2.618
profile1 0498,485.856,390.701,-2.643
profile1 0499,485.811,390.519,-2.666
profile1 0500,485.753,390.405,-2.665
profile1 0501,485.715,390.214,-2.662
profile1 0502,485.639,390.009,-2.666
profile1 0503,485.52,389.741,-2.662
profile1 0504,485.431,389.559,-2.659
profile1 0505,485.442,389.314,-2.66
profile1 0506,485.451,389.076,-2.667
profile1 0507,485.421,388.864,-2.672
profile1 0508,485.408,388.679,-2.681
profile1 0509,485.395,388.463,-2.697
profile1 0510,485.279,388.184,-2.716
profile1 0511,485.255,387.899,-2.721
profile1 0512,485.29,387.616,-2.735
profile1 0513,485.277,387.35,-2.748
profile1 0514,485.184,387.068,-2.745
profile1 0515,485.181,386.843,-2.757
profile1 0516,485.181,386.659,-2.753
profile1 0517,485.111,386.51,-2.752
