,event_id,norm_overrun_location,true_overrun_location,overrun_probability,number_of_events,number_of_waves,avg_overrun_period,avg_wave_period,norm_overrun_period,overrun_time,overrun_datetime,run_id,run_datetime,location,location_name
49,2,0.30478941601494736,38.555590343669046,0.36666666666666664,11,30.0,27.272727272727273,10.0,2.7272727272727275,9.851677467965382,2014-08-07 09:25:09,5,2014-08-07 09:25:00,OneMileBeach,One Mile Beach
50,3,0.04347824654091004,37.653124643283185,0.36666666666666664,11,30.0,27.272727272727273,10.0,2.7272727272727275,45.79718061543865,2014-08-07 09:25:45,5,2014-08-07 09:25:00,OneMileBeach,One Mile Beach
51,4,0.04347824654091004,37.653124643283185,0.36666666666666664,11,30.0,27.272727272727273,10.0,2.7272727272727275,45.79718061543865,2014-08-07 09:25:45,5,2014-08-07 09:25:00,OneMileBeach,One Mile Beach
52,5,0.020826370381523462,38.61916714573473,0.36666666666666664,11,30.0,27.272727272727273,10.0,2.7272727272727275,75.98602067399133,2014-08-07 09:26:15,5,2014-08-07 09:25:00,OneMileBeach,One Mile Beach
53,6,-0.00042774499179154546,34.30790159626132,0.36666666666666664,11,30.0,27.272727272727273,10.0,2.7272727272727275,123.69077668448375,2014-08-07 09:27:03,5,2014-08-07 09:25:00,OneMileBeach,One Mile Beach
54,7,0.012186409674358134,33.948768254615445,0.36666666666666664,11,30.0,27.272727272727273,10.0,2.7272727272727275,217.44652059664622,2014-08-07 09:28:37,5,2014-08-07 09:25:00,OneMileBeach,One Mile Beach
55,8,0.012186409674358134,33.948768254615445,0.36666666666666664,11,30.0,27.272727272727273,10.0,2.7272727272727275,217.44652059664622,2014-08-07 09:28:37,5,2014-08-07 09:25:00,OneMileBeach,One Mile Beach
56,9,0.03551166896819136,30.221904576974712,0.36666666666666664,11,30.0,27.272727272727273,10.0,2.7272727272727275,271.6279606013166,2014-08-07 09:29:31,5,2014-08-07 09:25:00,OneMileBeach,One Mile Beach
57,10,0.03551166896819136,30.221904576974712,0.36666666666666664,11,30.0,27.272727272727273,10.0,2.7272727272727275,271.6279606013166,2014-08-07 09:29:31,5,2014-08-07 09:25:00,OneMileBeach,One Mile Beach
58,11,0.041186048504895045,32.57515358169901,0.36666666666666664,11,30.0,27.272727272727273,10.0,2.7272727272727275,290.2533804680678,2014-08-07 09:29:50,5,2014-08-07 09:25:00,OneMileBeach,One Mile Beach
